"Year","Level"
1928.375,6935
1928.4583,6841
1928.5417,6883
1928.625,6963
1928.7083,7097
1928.7917,7170
1928.875,7084
1928.9583,7066
1929.0417,6825
1929.125,6990
1929.2083,6832
1929.2917,6883
1929.375,6862
1929.4583,7033
1929.5417,6941
1929.625,6923
1929.7083,7130
1929.7917,7078
1929.875,7027
1929.9583,6868
1930.0417,7017
1930.125,6981
1930.2083,6880
1930.2917,6932
1930.375,6883
1930.4583,6972
1930.5417,6868
1930.625,6981
1930.7083,6944
1930.7917,7145
1930.875,6996
1930.9583,6917
1931.0417,6838
1931.125,6935
1931.2083,6969
1931.2917,6899
1931.375,6850
1931.4583,6832
1931.5417,6832
1931.625,6795
1931.7083,6966
1931.7917,7088
1931.875,6963
1931.9583,6956
1932.0417,6859
1932.125,6880
1932.2083,6795
1932.2917,6828
1932.375,6917
1932.4583,6941
1932.5417,6810
1932.625,6960
1932.7083,7173
1932.7917,7057
1932.875,7118
1932.9583,7030
1933.0417,6972
1933.125,6923
1933.2083,6883
1933.2917,7017
1933.375,6926
1933.4583,6981
1933.5417,6960
1933.625,7063
1933.7083,7078
1933.7917,7273
1933.875,7084
1933.9583,6929
1934.0417,6886
1934.125,6886
1934.2083,6868
1934.2917,6908
1934.375,6990
1934.4583,6908
1934.5417,6899
1934.625,6868
1934.7083,7060
1934.7917,7213
1934.875,7042
1934.9583,6935
1935.0417,7030
1935.125,6920
1935.2083,6877
1935.2917,6963
1935.375,6941
1935.4583,6926
1935.5417,6871
1935.625,6950
1935.7083,7091
1935.7917,7228
1935.875,7249
1935.9583,6987
1936.0417,6874
1936.125,6963
1936.2083,6868
1936.2917,6929
1936.375,7094
1936.4583,7091
1936.5417,6871
1936.625,6981
1936.7083,7103
1936.7917,7188
1936.875,7036
1936.9583,7057
1937.0417,6966
1937.125,6972
1937.2083,6950
1937.2917,6941
1937.375,7030
1937.4583,6947
1937.5417,6877
1937.625,6999
1937.7083,7176
1937.7917,7237
1937.875,7060
1937.9583,7011
1938.0417,6923
1938.125,6944
1938.2083,6905
1938.2917,6856
1938.375,6929
1938.4583,6950
1938.5417,6935
1938.625,7030
1938.7083,7115
1938.7917,7249
1938.875,7188
1938.9583,6999
1939.0417,6877
1939.125,6825
1939.2083,6911
1939.2917,6880
1939.375,7008
1939.4583,6941
1939.5417,6975
1939.625,6950
1939.7083,7197
1939.7917,7191
1939.875,7124
1939.9583,6908
1940.0417,6859
1940.125,6816
1940.2083,6877
1940.2917,6853
1940.375,6944
1940.4583,6911
1940.5417,6932
1940.625,7106
1940.7083,7228
1940.7917,7191
1940.875,7039
1940.9583,6996
1941.0417,7045
1941.125,6990
1941.2083,6889
1941.2917,6963
1941.375,6920
1941.4583,6950
1941.5417,6899
1941.625,6926
1941.7083,7152
1941.7917,7139
1941.875,7124
1941.9583,6996
1942.0417,6941
1942.125,6999
1942.2083,6841
1942.2917,6993
1942.375,6996
1942.4583,6984
1942.5417,6935
1942.625,6981
1942.7083,7103
1942.7917,7237
1942.875,7075
1942.9583,6902
1943.0417,6862
1943.125,6822
1943.2083,6947
1943.2917,6956
1943.375,7011
1943.4583,6966
1943.5417,6920
1943.625,7054
1943.7083,7243
1943.7917,7280
1943.875,7060
1943.9583,6953
1944.0417,6969
1944.125,6877
1944.2083,6944
1944.2917,6993
1944.375,7048
1944.4583,7072
1944.5417,7081
1944.625,7039
1944.7083,7127
1944.7917,7228
1944.875,7152
1944.9583,6938
1945.0417,6917
1945.125,6847
1945.2083,6859
1945.2917,6978
1945.375,6929
1945.4583,6941
1945.5417,6981
1945.625,7045
1945.7083,7133
1945.7917,7298
1945.875,7139
1945.9583,7081
1946.0417,6969
1946.125,6883
1946.2083,6996
1946.2917,7014
1946.375,6987
1946.4583,6963
1946.5417,6953
1946.625,6981
1946.7083,7249
1946.7917,7344
1946.875,7261
1946.9583,7097
1947.0417,6978
1947.125,6892
1947.2083,6917
1947.2917,6953
1947.375,6960
1947.4583,7069
1947.5417,6990
1947.625,7005
1947.7083,7261
1947.7917,7341
1947.875,7344
1947.9583,7213
1948.0417,7072
1948.125,7115
1948.2083,7115
1948.2917,7130
1948.375,7088
1948.4583,7072
1948.5417,6981
1948.625,7091
1948.7083,7347
1948.7917,7365
1948.875,7191
1948.9583,7048
1949.0417,6923
1949.125,7005
1949.2083,6969
1949.2917,6969
1949.375,7088
1949.4583,7112
1949.5417,7045
1949.625,7005
1949.7083,7237
1949.7917,7365
1949.875,7072
1949.9583,7075
1950.0417,6932
1950.125,6975
1950.2083,6935
1950.2917,6981
1950.375,7017
1950.4583,6953
1950.5417,6832
1950.625,7054
1950.7083,7209
1950.7917,7304
1950.875,7027
1950.9583,6987
1951.0417,6932
1951.125,6944
1951.2083,6996
1951.2917,6941
1951.375,7005
1951.4583,6996
1951.5417,6902
1951.625,6984
1951.7083,7109
1951.7917,7380
1951.875,7164
1951.9583,7030
1952.0417,6960
1952.125,6990
1952.2083,6993
1952.2917,6944
1952.375,6996
1952.4583,6911
1952.5417,6969
1952.625,6987
1952.7083,7243
1952.7917,7277
1952.875,7051
1952.9583,7048
1953.0417,6865
1953.125,6832
1953.2083,6905
1953.2917,6941
1953.375,6889
1953.4583,7020
1953.5417,6999
1953.625,7066
1953.7083,7298
1953.7917,7359
1953.875,7182
1953.9583,7017
1954.0417,6969
1954.125,6975
1954.2083,6892
1954.2917,7017
1954.375,7084
1954.4583,7097
1954.5417,6999
1954.625,6981
1954.7083,7106
1954.7917,7164
1954.875,7060
1954.9583,6899
1955.0417,6966
1955.125,6960
1955.2083,6883
1955.2917,6963
1955.375,7078
1955.4583,7042
1955.5417,6987
1955.625,7136
1955.7083,7200
1955.7917,7240
1955.875,7024
1955.9583,7014
1956.0417,7014
1956.125,6896
1956.2083,6868
1956.2917,6908
1956.375,6999
1956.4583,6969
1956.5417,6816
1956.625,6978
1956.7083,7133
1956.7917,7316
1956.875,7136
1956.9583,6853
1957.0417,6850
1957.125,6993
1957.2083,7033
1957.2917,6941
1957.375,7048
1957.4583,7020
1957.5417,7054
1957.625,7188
1957.7083,7152
1957.7917,7356
1957.875,7194
1957.9583,6981
1958.0417,7017
1958.125,6767
1958.2083,7011
1958.2917,7045
1958.375,6972
1958.4583,6999
1958.5417,6911
1958.625,6978
1958.7083,7124
1958.7917,7328
1958.875,7088
1958.9583,7063
1959.0417,6969
1959.125,6944
1959.2083,6966
1959.2917,6969
1959.375,7005
1959.4583,7075
1959.5417,7036
1959.625,6999
1959.7083,7176
1959.7917,7219
1959.875,7231
1959.9583,7088
1960.0417,7069
1960.125,6990
1960.2083,7048
1960.2917,7011
1960.375,7078
1960.4583,7121
1960.5417,7100
1960.625,7130
1960.7083,7347
1960.7917,7307
1960.875,7148
1960.9583,7054
1961.0417,6956
1961.125,6941
1961.2083,6972
1961.2917,6950
1961.375,7008
1961.4583,6963
1961.5417,6938
1961.625,7036
1961.7083,7203
1961.7917,7264
1961.875,7194
1961.9583,7017
1962.0417,6880
1962.125,7011
1962.2083,7127
1962.2917,6941
1962.375,7057
1962.4583,7066
1962.5417,7036
1962.625,7103
1962.7083,7206
1962.7917,7243
1962.875,7142
1962.9583,7030
1963.0417,7011
1963.125,7005
1963.2083,6850
1963.2917,6944
1963.375,7027
1963.4583,6960
1963.5417,6923
1963.625,6984
1963.7083,7331
